county_fips,county_name,svi_population,poverty_150_pct,unemployment_svi_pct,uninsured_svi_pct,disability_pct,single_parent_pct,no_vehicle_pct,no_internet_pct,svi_socioeconomic,svi_household,svi_minority_language,svi_housing_transportation,svi_overall
28143,Tunica County,9787,48.7,12.2,13.1,10.5,12.8,9.5,16.0,0.8889,0.2469,0.963,0.9383,0.8765
28145,Union County,27880,27.0,4.1,10.1,19.2,8.5,4.1,25.3,0.1605,0.7901,0.1111,0.3086,0.2593
28147,Walthall County,13888,34.6,6.5,10.4,23.8,7.8,5.5,28.5,0.5309,0.8889,0.5432,0.2222,0.5802
28149,Warren County,44341,26.7,4.7,11.2,19.8,7.6,6.5,21.4,0.1358,0.7407,0.6914,0.2716,0.3457
28151,Washington County,44604,43.2,9.5,13.4,24.6,10.0,12.4,42.8,0.9383,1.0,0.8889,0.7284,0.9877
28153,Wayne County,19760,35.1,8.7,18.2,18.9,9.4,6.5,21.5,0.7284,0.9136,0.4938,0.358,0.7037
28155,Webster County,9942,24.0,6.4,13.5,20.4,6.1,6.9,23.6,0.2716,0.3457,0.0864,0.0247,0.0988
28157,Wilkinson County,8531,41.3,6.3,9.8,24.3,13.5,6.8,29.2,0.4074,0.5185,0.8272,0.5679,0.5309
28159,Winston County,17741,35.2,6.9,11.0,24.2,7.8,7.0,30.4,0.2963,0.6173,0.6173,0.358,0.3951
28161,Yalobusha County,12499,35.2,5.0,13.2,18.6,6.7,6.1,28.5,0.3086,0.4444,0.4691,0.1852,0.3086
28163,Yazoo County,27467,42.0,10.4,13.7,24.3,11.4,11.1,25.2,0.963,0.679,0.7901,0.9877,0.9753
